lat,lng
-23.478961135404724,-46.52236866163061
-23.68791363513507,-46.4046464421856
-23.31750983924737,-46.618885782937035
-23.667487993850436,-46.38570766816431
-23.598309227430853,-46.83701521873223
-23.42797241739455,-46.88550736590327
-23.734629647465095,-46.638332154834494
-23.51588100980938,-46.572390182659106
-23.353928586857638,-46.63490421221412
-23.791122485184186,-46.94011631500599
-23.522304921220154,-46.643368005926924
-23.511017580862738,-46.82567042507573
-23.432726569233406,-46.529549117675494
-23.735542606631714,-46.575010263085474
-23.74806849196264,-46.770981967949105
-23.471708765157466,-46.707080037600505
-23.505452299015023,-46.788882028283346
-23.512426072448118,-46.63940186459098
-23.498032768575456,-46.486728651924814
-23.652003708236773,-46.777858906950335
-23.51516194542585,-46.55439302267233
-23.5060391290052,-46.70953864275587
-23.657152712703954,-46.74893092483936
-23.270133823328287,-46.64605455399319
-23.478925061863233,-46.78528634836291
-23.7286955245804,-46.71304739580208
-23.451516958704925,-46.80968168388833
-23.6962022505341,-46.335291230062545
-23.431937309438634,-46.624710467204245
-23.37621066314889,-46.73495882619889
-23.673102347752756,-46.59790301338987
-23.405493580613353,-46.64684920745363
-23.488082860959526,-46.663145439929984
-23.426690976000828,-46.53787499499349
-23.26548105260191,-46.51637384349291
-23.58680821740043,-46.709575172141584
-23.663060424653626,-46.7163727360967
-23.683427164443827,-46.67125775457275
-23.672371542744816,-46.97528817471034
-23.561565256412116,-46.857278659329786
-23.498827203777505,-46.42496885988332
-23.5084963801005,-46.38325484297481
-23.425922512644597,-46.667355405933456
-23.548049716218316,-46.543516455541635
-23.331969888426404,-46.58331247681847
-23.589698524985693,-46.168167878731715
-23.141974625011557,-46.46206376328482
-23.45614989783525,-46.64918763872212
-23.67857363346244,-46.773331066090066
-23.710633874709167,-46.870966948038635
-23.477629137713524,-46.59948045461992
-23.58351941779888,-46.74345261179265
-23.442899925886188,-46.843338056439656
-23.479014356313968,-46.72698593263638
-23.56092433689853,-46.79223220054216
-23.67701905771026,-46.37692875473912
-23.77722708370288,-46.497754036457586
-23.616977242810055,-46.6311958961975
-23.42154018085148,-46.408008379166496
-23.51788593838047,-46.61839475385286
-23.7368608168068,-46.759192630199244
-23.524022861122322,-46.40153138840955
-23.492202393040674,-46.5491634934473
-23.68257861543017,-46.78558692314897
-23.526941234108172,-46.65855080171254
-23.5412686922331,-46.76134273800771
-23.721445544674594,-46.837419959644656
-23.49633189594776,-46.49107336787026
-23.465882321044766,-46.343587503929484
-23.38754231352371,-46.83978513607288
-23.391929692194765,-46.54555461449642
-23.756650405193565,-46.72759638536828
-23.69067375598727,-46.703068807564705
-23.4727447099187,-46.71885908863583
-23.47293210736317,-46.75959861545198
-23.472742847054093,-46.62272175580828
-22.972090276401794,-46.75464251746166
-23.464366423396026,-46.58943147613303
-23.379665153972912,-46.637535716417375
-23.40689973547602,-46.66584220702996
-23.45229131230413,-46.766134549306244
-23.597290386696052,-46.71651569958525
-23.43615461692601,-46.51669131612614
-23.665923782180638,-46.55486242185635
-23.585522791011,-46.776633286719786
-23.622804532174367,-46.61510015418562
-23.53771887909205,-46.517291931494235
-23.202801214998974,-46.880410792168206
-23.830089778888762,-46.54849597114301
-23.447060971443825,-46.72939356384188
-23.79190738067845,-46.54441019971103
-23.620789779868417,-46.74448887348138
-23.386657410454895,-46.90073231509968
-23.540357997135683,-46.87413136568248
-23.711661716689395,-46.6227872580008
-23.657295556388995,-46.59104162474178
-23.4480603376598,-46.76564749376566
-23.65955499475757,-46.5342111311834
-23.517531211562705,-46.879228009340345
-23.54316422401443,-46.6399119697971
-23.647740052140872,-46.81165242996437
-23.228408386601203,-46.727775416170324
-23.454912146652298,-46.62289019930254
-23.85377138799864,-46.7590620047926
-23.522031852784586,-46.687683331634474
-23.649267969715257,-46.47905607861784
-23.422134999780567,-46.71653378042848
-23.668878110764904,-46.50464618319023
-23.567210466220036,-46.79945602819865
-23.474251908152933,-46.55052937331271
-23.42013672087448,-46.41376470690132
-23.730044461058366,-47.000746675019094
-23.60017518537614,-46.749534288320575
-23.621241796674145,-46.543439180922924
-23.647999384886056,-46.66045680790645
-23.285181863957835,-46.57432811899431
-23.48925274335586,-46.720597778007374
-23.73913259315026,-46.617011531879065
-23.412320707941785,-46.65335158530881
-23.231676570448105,-46.45483269075103
-23.39513021091733,-46.59183687350482
-23.7779054948931,-46.579359600688726
-23.622635110929938,-46.69178154491837
-23.359963327622008,-46.703140933610875
-23.656150419842817,-46.69488372817295
-23.483427085778068,-46.57083217864326
-23.4338048919856,-46.69314767212304
-23.689039570736714,-46.58653377146554
-23.55892880340927,-46.31868988020319
-24.036190101010362,-46.49933129448525
-23.703658146200144,-46.67890352982518
-23.587885222708973,-46.44981791167541
-23.73716747729473,-46.69121130595324
-23.305138304410256,-46.93571868027668
-23.764521206694095,-46.781212946637616
-23.61600667300455,-46.91061878815388
-23.530388913407087,-46.6827270226062
-23.333809006640085,-46.62723724312157
-23.765379322676917,-46.37853440315871
-23.37552543717676,-46.58096089393538
-23.548465040847063,-46.662865079321335
-23.697226297657192,-46.50558916282248
-23.48068447886051,-46.96167029635119
-23.52014104566398,-46.594657816283714
-23.64003253157382,-46.51437022091696
-23.5395296872515,-46.85178793686698
-23.607797039529263,-46.458436893518964
-23.532972398212312,-46.57922553887584
-23.450680398821845,-46.69229318708512
-23.3120974775782,-46.53508272008406
-23.735672324824026,-46.28939607132934
-23.23004499380156,-46.60272006174123
-23.842813169928377,-46.592766912054955
-23.57276776425534,-46.69890413493104
-23.461752419027313,-46.75747665541972
-23.507851219839747,-46.50544962751837
-23.64340492797309,-46.75841257388633
-23.581218337553594,-46.61926506441709
-23.623950140198826,-46.70164861701477
-23.638404713541632,-46.558153026138044
-23.422559685446846,-46.57995068420696
-23.496447677105245,-46.474369008361315
-23.653936439289097,-46.706502459828215
-23.415060018685015,-46.67048124029401
-23.50390507186851,-46.77681455736735
-23.428070682174155,-46.69664398901142
-23.45555567371146,-46.573404926043274
